City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,20.62,76,0,3.09,ZA,"01/20/2023,23:55:00"
1,busselton,-33.65,115.3333,24.69,43,0,5.51,AU,"01/20/2023,23:56:27"
2,shimoda,34.6667,138.95,7.2,63,81,5.56,JP,"01/20/2023,23:55:32"
3,kargil,34.5667,76.1,-21.34,92,92,1.74,IN,"01/20/2023,23:56:28"
4,bredasdorp,-34.5322,20.0403,19.42,86,3,0.36,ZA,"01/20/2023,23:56:29"
5,victoria,22.2855,114.1577,17.36,82,87,3.58,HK,"01/20/2023,23:53:26"
6,lebu,-37.6167,-73.65,15.76,84,0,4.45,CL,"01/20/2023,23:56:30"
7,poum,-20.2333,164.0167,26.86,89,100,13.87,NC,"01/20/2023,23:56:30"
8,lamont,35.2597,-118.9143,13.08,48,0,1.62,US,"01/20/2023,23:56:31"
9,nikolskoye,59.7035,30.7861,-0.67,94,89,0.96,RU,"01/20/2023,23:56:31"
10,mayo,38.8876,-76.5119,7.36,54,100,7.72,US,"01/20/2023,23:56:32"
11,rikitea,-23.1203,-134.9692,26.07,70,84,4.05,PF,"01/20/2023,23:56:32"
12,meulaboh,4.1363,96.1285,23.36,91,99,1.95,ID,"01/20/2023,23:56:32"
13,ushuaia,-54.8,-68.3,12.81,71,75,2.06,AR,"01/20/2023,23:51:34"
14,port alfred,-33.5906,26.891,22.32,97,41,1.34,ZA,"01/20/2023,23:51:30"
15,vredendal,-31.6683,18.5012,17.0,89,0,2.54,ZA,"01/20/2023,23:56:33"
16,ilulissat,69.2167,-51.1,-25.61,99,100,2.66,GL,"01/20/2023,23:56:34"
17,port augusta,-32.5,137.7667,24.37,34,0,5.56,AU,"01/20/2023,23:56:34"
18,cidreira,-30.1811,-50.2056,23.85,86,7,7.46,BR,"01/20/2023,23:51:34"
19,beringovskiy,63.05,179.3167,-33.11,89,30,1.94,RU,"01/20/2023,23:56:35"
20,punta arenas,-53.15,-70.9167,14.06,62,0,4.12,CL,"01/20/2023,23:51:31"
21,barrow,71.2906,-156.7887,-20.99,84,100,3.6,US,"01/20/2023,23:51:35"
22,codrington,-38.2667,141.9667,19.51,63,99,5.89,AU,"01/20/2023,23:56:36"
23,alugan,12.2188,125.4808,26.24,86,97,7.59,PH,"01/20/2023,23:56:36"
24,tessalit,20.1986,1.0114,20.18,15,17,2.49,ML,"01/20/2023,23:56:37"
25,hilo,19.7297,-155.09,29.04,59,40,7.72,US,"01/20/2023,23:56:37"
26,kodiak,57.79,-152.4072,0.73,86,100,7.72,US,"01/20/2023,23:51:43"
27,kavaratti,10.5669,72.642,26.24,65,74,2.05,IN,"01/20/2023,23:56:38"
28,zyryanovsk,49.7386,84.2719,-21.09,99,100,0.29,KZ,"01/20/2023,23:56:38"
29,atuona,-9.8,-139.0333,25.96,76,6,7.17,PF,"01/20/2023,23:56:39"
30,yellowknife,62.456,-114.3525,-18.71,78,20,1.03,CA,"01/20/2023,23:51:38"
31,hobart,-42.8794,147.3294,22.81,62,75,2.57,AU,"01/20/2023,23:56:39"
32,borogontsy,62.6683,131.1683,-51.53,100,81,0.72,RU,"01/20/2023,23:56:40"
33,avarua,-21.2078,-159.775,28.03,78,20,7.2,CK,"01/20/2023,23:56:40"
34,airai,-8.9266,125.4092,18.93,74,100,0.75,TL,"01/20/2023,23:56:40"
35,khatanga,71.9667,102.5,-40.48,98,57,3.02,RU,"01/20/2023,23:56:41"
36,faanui,-16.4833,-151.75,27.6,65,52,5.63,PF,"01/20/2023,23:56:41"
37,zhigansk,66.7697,123.3711,-42.13,95,100,0.73,RU,"01/20/2023,23:56:42"
38,thompson,55.7435,-97.8558,-7.91,93,100,3.09,CA,"01/20/2023,23:56:42"
39,uchaly,54.2996,59.4521,-16.08,77,12,2.6,RU,"01/20/2023,23:56:43"
40,kaitangata,-46.2817,169.8464,16.78,43,50,4.07,NZ,"01/20/2023,23:56:43"
41,san quintin,30.4833,-115.95,14.5,59,4,4.64,MX,"01/20/2023,23:56:43"
42,owando,-0.4819,15.8999,23.88,79,100,1.84,CG,"01/20/2023,23:52:32"
43,ereymentau,51.6199,73.1033,-19.2,99,84,2.46,KZ,"01/20/2023,23:56:44"
44,belmonte,-15.8631,-38.8828,25.26,81,88,3.55,BR,"01/20/2023,23:56:44"
45,saskylakh,71.9167,114.0833,-38.43,100,50,1.69,RU,"01/20/2023,23:57:45"
46,aitape,-3.1374,142.3475,27.65,74,100,1.41,PG,"01/20/2023,23:57:45"
47,kapaa,22.0752,-159.319,26.72,76,27,3.13,US,"01/20/2023,23:53:35"
48,pevek,69.7008,170.3133,-34.52,98,98,0.74,RU,"01/20/2023,23:57:46"
49,mar del plata,-38.0023,-57.5575,23.94,93,75,6.17,AR,"01/20/2023,23:51:32"
50,port elizabeth,-33.918,25.5701,22.4,97,20,0.0,ZA,"01/20/2023,23:57:47"
51,hearst,49.6835,-83.6665,-17.86,100,74,1.09,CA,"01/20/2023,23:54:02"
52,georgetown,5.4112,100.3354,25.96,93,40,1.54,MY,"01/20/2023,23:55:04"
53,pochutla,15.7432,-96.4661,27.68,70,17,1.75,MX,"01/20/2023,23:57:48"
54,longyearbyen,78.2186,15.6401,-1.09,80,75,10.8,SJ,"01/20/2023,23:57:48"
55,luena,-11.7833,19.9167,16.12,95,100,1.91,AO,"01/20/2023,23:57:49"
56,kahului,20.8947,-156.47,26.58,74,12,3.58,US,"01/20/2023,23:57:49"
57,dikson,73.5069,80.5464,-25.69,73,100,14.59,RU,"01/20/2023,23:51:47"
58,chuy,-33.6971,-53.4616,22.41,85,70,6.35,UY,"01/20/2023,23:57:50"
59,dawlatabad,36.4141,64.9053,-3.59,87,98,0.02,AF,"01/20/2023,23:57:50"
60,hasaki,35.7333,140.8333,4.22,45,28,9.46,JP,"01/20/2023,23:51:45"
61,saint-philippe,-21.3585,55.7679,26.77,84,97,1.69,RE,"01/20/2023,23:57:51"
62,havre-saint-pierre,50.2334,-63.5986,-6.0,73,75,3.6,CA,"01/20/2023,23:57:51"
63,ponta do sol,32.6667,-17.1,16.51,71,35,2.22,PT,"01/20/2023,23:57:52"
64,bethel,41.3712,-73.414,6.53,75,99,2.24,US,"01/20/2023,23:57:52"
65,ouadda,8.0777,22.4007,20.92,27,46,2.14,CF,"01/20/2023,23:57:53"
66,tilichiki,60.4667,166.1,-29.06,97,98,5.52,RU,"01/20/2023,23:57:54"
67,mataura,-46.1927,168.8643,16.09,43,77,2.86,NZ,"01/20/2023,23:51:40"
68,lompoc,34.6391,-120.4579,15.52,63,6,3.58,US,"01/20/2023,23:57:54"
